INFO 2024-09-28 09:10:42,755 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-28 09:10:42,757 autoreload Waiting for apps ready_event.
DEBUG 2024-09-28 09:10:43,193 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-28 09:10:43,227 autoreload Watching dir D:\New folder\Inventory\inventory\locale with glob **/*.mo.
DEBUG 2024-09-28 09:10:43,228 autoreload Watching dir D:\New folder\Inventory\inventory\user_inventory\locale with glob **/*.mo.
DEBUG 2024-09-28 09:10:43,388 utils (0.016) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-09-28 09:10:43,410 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-28 09:10:43,539 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1727535193.9062467
DEBUG 2024-09-28 09:10:43,539 autoreload File C:\Users\Lenovo\AppData\Local\Programs\Python\Python312\Lib\html\__init__.py first seen with mtime 1717728852.0
DEBUG 2024-09-28 09:10:43,539 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\utils\text.py first seen with mtime 1727535194.0799282
DEBUG 2024-09-28 09:10:43,539 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\core\management\sql.py first seen with mtime 1727535193.7356155
DEBUG 2024-09-28 09:10:43,539 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1727535193.6767838
DEBUG 2024-09-28 09:10:43,539 autoreload File D:\New folder\Inventory\env\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1727535191.8006053
